psd_force_rst	Output	N16	JB2-23	J5-1	
psd_global_ena	Output	T15	JB2-24	J5-7	
psd_reset	Output	M16	JB2-25	J5-4	
psd_veto_reset	Output	P15	JB2-26	J5-6	
DELAY_CLK	Output	M17	JB2-27	J5-2	
DELAY_DATA	Output	R15	JB2-28	J5-8	
DELAY_EN_L[0]	Output	E6	JB2-31	J6-8	
DELAY_EN_L[1]	Output	T11	JB2-32	J11-17	
DELAY_EN_L[2]	Output	E5	JB2-33	J6-6	
DELAY_EN_L[3]	Output	U11	JB2-34	J13-29	
DELAY_EN_L[4]	Output	K2	JB2-35	J13-27	
DELAY_EN_L[5]	Output	T10	JB2-36	J11-18	
BOARD_ID[0]	Input	T3	JB3-1	Not exposed on 705	
BOARD_ID[1]	Input	M4	JB3-2	Not exposed on 705	
BOARD_ID[2]	Input	R3	JB3-3	Not exposed on 705	
BOARD_ID[3]	Input	N4	JB3-4	Not exposed on 705	
BOARD_ID[4]	Input	U7	JB3-7	Not exposed on 705	
BOARD_ID[5]	Input	R6	JB3-8	Not exposed on 705	
I2C_SCL	Output	U6	JB3-9	Not exposed on 705	
I2C_SDA	BiDir	R5	JB3-10	Not exposed on 705	
TDC_SCLK	Output	R2	JB3-13	Not exposed on 705	
TDC_DOUT	Input	R7	JB3-14	Not exposed on 705	
TDC_DIN	Output	P2	JB3-15	Not exposed on 705	
TDC_ENABLE	Output	T6	JB3-16	Not exposed on 705	
TDC_CSB	Output	V7	JB3-19	Not exposed on 705	
TDC_INTB	Input	V9	JB3-20	Not exposed on 705	
TDC_START	Output	V6	JB3-21	Not exposed on 705	
TDC_STOP	Output	U9	JB3-22	Not exposed on 705	
BUSY_OUT_L	Output	U4	JB3-25	Not exposed on 705	
UNUSED	--	V5	JB3-26	Not exposed on 705	Not Connected
TSTAMP_CLK	Input	U3	JB3-27	Not exposed on 705	
TSTAMP_RST	Input	V4	JB3-28	Not exposed on 705	
COMMON_STOP	Input	T5	JB3-31	Not exposed on 705	
GLOB_ENA	Input	N5	JB3-32	Not exposed on 705	
EVENT_ENA	Input	T4	JB3-33	Not exposed on 705	
FORCE_RESET	Input	P5	JB3-34	Not exposed on 705	
TAKE_EVENT	Input	V1	JB3-37	Not exposed on 705	
OR	Output	K3	JB3-38	Not exposed on 705	
INTX_OUT	Output	U1	JB3-39	Not exposed on 705	
CFD_OUT	Output	L3	JB3-40	Not exposed on 705	
MUX_SEL[0]	Output	K1	JB2-37	Not exposed on 705	
MUX_SEL[1]	Output	T9	JB2-38	J13-25	
MUX_SEL[2]	Output	J2	JB2-41	J6-7	
MUX_SEL[3]	Output	H6	JB2-42	J13-26	
MUX_EN	Output	J3	JB2-43	J6-5	
DEBUG_GPIO[0]	BiDir	H5	JB2-44	J13-20	
DEBUG_GPIO[1]	BiDir	J4	JB2-46	J11-25	
DEBUG_GPIO[2]	BiDir	B1	JB2-75	J13-32	
DEBUG_GPIO[3]	BiDir	E2	JB2-52	J11-20	
DEBUG_GPIO[4]	BiDir	C2	JB2-73	J13-33	
DEBUG_GPIO[5]	BiDir	G4	JB2-56	J13-22	
DEBUG_GPIO[6]	BiDir	A1	JB2-77	J11-32	
DEBUG_GPIO[7]	BiDir	H2	JB2-62	J11-23	
